X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_2277	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	97%	Sordariomycetes_unidentified	84%	Sordariomycetes_unidentified_1	84%	Sordariomycetes_unidentified_1	84%	Sordariomycetes_sp|SH233630.06FU	84%
ASV_2278	-	Fungi	100%	Ascomycota	91%	Incertae_sedis_14	12%	Incertae_sedis_15	12%	Incertae_sedis_16	12%	Retroconis	9%	Retroconis_fusiformis|SH234970.06FU	9%
ASV_2279	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	74%	Mortierella	74%	Mortierella_sp_ATT116|SH218048.06FU	42%
ASV_2280	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_2281	-	Fungi	100%	Ascomycota	97%	Dothideomycetes	73%	Dothideomycetes_unidentified	73%	Dothideomycetes_unidentified_1	73%	Dothideomycetes_unidentified_1	73%	Dothideomycetes_sp|SH216443.06FU	71%
ASV_2282	-	Fungi	100%	Fungi_unidentified	70%	Fungi_unidentified_1	70%	Fungi_unidentified_1	70%	Fungi_unidentified_1_1	70%	Fungi_unidentified_1_1	70%	Fungi_sp|SH217408.06FU	54%
ASV_2283	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	97%	Sordariales	96%	Lasiosphaeriaceae	96%	Cladorrhinum	87%	Cladorrhinum_sp|SH223697.06FU	87%
ASV_2284	+	Fungi	100%	Basidiomycota	80%	Tremellomycetes	18%	Tremellales	18%	Tremellales_unidentified	13%	Tremellales_unidentified_1	13%	Tremellales_sp|SH229402.06FU	13%
ASV_2285	-	Fungi	100%	Zygomycota	97%	Incertae_sedis_10	97%	Mortierellales	97%	Mortierellaceae	95%	Mortierella	95%	Mortierella_sp|SH228359.06FU	81%
ASV_2286	-	Fungi	100%	Ascomycota	78%	Dothideomycetes	19%	Pleosporales	19%	Pleosporales_unidentified	3%	Pleosporales_unidentified_1	3%	Pleosporales_sp|SH240081.06FU	3%
ASV_2287	-	Fungi	100%	Zygomycota	95%	Incertae_sedis_10	95%	Mortierellales	95%	Mortierellaceae	95%	Mortierella	95%	Mortierella_alpina|SH211072.06FU	18%
ASV_2288	+	Fungi	100%	Ascomycota	100%	Eurotiomycetes	100%	Chaetothyriales	100%	Herpotrichiellaceae	100%	Exophiala	100%	Exophiala_equina|SH230206.06FU	53%
ASV_2289	+	Fungi	100%	Ascomycota	99%	Sordariomycetes	99%	Incertae_sedis_7	96%	Glomerellaceae	96%	Colletotrichum	76%	Colletotrichum_dracaenophilum|SH233488.06FU	48%
ASV_2290	+	Fungi	100%	Zygomycota	92%	Incertae_sedis_10	92%	Mortierellales	92%	Mortierellaceae	92%	Mortierella	91%	Mortierella_sp|SH214852.06FU	46%
ASV_2291	+	Fungi	100%	Zygomycota	80%	Incertae_sedis_10	80%	Mortierellales	80%	Mortierellaceae	80%	Mortierella	80%	Mortierella_sp|SH214851.06FU	61%
ASV_2292	+	Fungi	100%	Basidiomycota	71%	Microbotryomycetes	8%	Sporidiobolales	8%	Incertae_sedis_25	8%	Rhodotorula	8%	Rhodotorula_lamellibrachiae|SH227552.06FU	8%
ASV_2293	-	Fungi	100%	Ascomycota	84%	Sordariomycetes	73%	Sordariales	51%	Lasiosphaeriaceae	35%	Lasiosphaeriaceae_unidentified	35%	Lasiosphaeriaceae_sp|SH223698.06FU	35%
ASV_2294	-	Fungi	100%	Fungi_unidentified	60%	Fungi_unidentified_1	60%	Fungi_unidentified_1	60%	Fungi_unidentified_1_1	60%	Fungi_unidentified_1_1	60%	Fungi_sp|SH217408.06FU	49%
ASV_2295	+	Fungi	100%	Ascomycota	100%	Ascomycota_unidentified	54%	Ascomycota_unidentified_1	54%	Ascomycota_unidentified_1	54%	Ascomycota_unidentified_1_1	54%	Ascomycota_sp|SH241580.06FU	46%
ASV_2296	+	Fungi	100%	Ascomycota	96%	Sordariomycetes	96%	Hypocreales	90%	Ophiocordycipitaceae	42%	Elaphocordyceps	27%	Elaphocordyceps_capitata|SH224002.06FU	27%
ASV_2297	+	Fungi	100%	Ascomycota	100%	Eurotiomycetes	98%	Chaetothyriales	98%	Herpotrichiellaceae	98%	Exophiala	98%	Exophiala_equina|SH230206.06FU	50%
ASV_2298	+	Fungi	100%	Zygomycota	57%	Incertae_sedis_10	57%	Mortierellales	57%	Mortierellaceae	57%	Mortierella	57%	Mortierella_sp|SH214852.06FU	51%
ASV_2299	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	84%
ASV_2300	+	Fungi	100%	Fungi_unidentified	39%	Fungi_unidentified_1	39%	Fungi_unidentified_1	39%	Fungi_unidentified_1_1	39%	Fungi_unidentified_1_1	39%	Fungi_sp|SH237967.06FU	38%
ASV_2301	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_2302	+	Fungi	100%	Fungi_unidentified	48%	Fungi_unidentified_1	48%	Fungi_unidentified_1	48%	Fungi_unidentified_1_1	48%	Fungi_unidentified_1_1	48%	Fungi_sp|SH217408.06FU	36%
ASV_2303	+	Fungi	100%	Fungi_unidentified	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1	57%	Fungi_unidentified_1_1	57%	Fungi_unidentified_1_1	57%	Fungi_sp|SH217408.06FU	48%
ASV_2304	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_2305	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	85%
ASV_2306	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_2307	-	Fungi	100%	Ascomycota	88%	Dothideomycetes	81%	Pleosporales	81%	Phaeosphaeriaceae	68%	Phaeosphaeriaceae_unidentified	62%	Phaeosphaeriaceae_sp|SH227811.06FU	58%
ASV_2308	+	Fungi	100%	Ascomycota	76%	Ascomycota_unidentified	76%	Ascomycota_unidentified_1	76%	Ascomycota_unidentified_1	76%	Ascomycota_unidentified_1_1	76%	Ascomycota_sp|SH213439.06FU	76%
ASV_2309	+	Fungi	100%	Ascomycota	100%	Ascomycota_unidentified	100%	Ascomycota_unidentified_1	100%	Ascomycota_unidentified_1	100%	Ascomycota_unidentified_1_1	100%	Ascomycota_sp|SH218146.06FU	100%
ASV_2310	-	Fungi	100%	Basidiomycota	66%	Agaricomycetes	63%	Agaricales	33%	Amanitaceae	11%	Limacella	11%	Limacella_delicata|SH239621.06FU	11%
ASV_2311	+	Fungi	100%	Ascomycota	99%	Ascomycota_unidentified	73%	Ascomycota_unidentified_1	73%	Ascomycota_unidentified_1	73%	Ascomycota_unidentified_1_1	73%	Ascomycota_sp|SH222046.06FU	73%
ASV_2312	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_2313	-	Fungi	100%	Ascomycota	95%	Incertae_sedis_14	70%	Incertae_sedis_15	70%	Incertae_sedis_16	70%	Retroconis	70%	Retroconis_fusiformis|SH234970.06FU	70%
ASV_2314	-	Fungi	100%	Basidiomycota	69%	Microbotryomycetes	8%	Sporidiobolales	8%	Incertae_sedis_25	8%	Rhodotorula	8%	Rhodotorula_lamellibrachiae|SH227552.06FU	8%
