	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_225	260	300	194	52	40	56	12	14	2	283	100	437
ASV_226	0	0	0	161	185	1327	0	0	0	3	0	60
ASV_227	162	161	126	0	184	134	28	0	146	74	160	520
ASV_228	0	0	0	366	140	0	492	569	19	44	0	43
ASV_229	0	0	0	1133	454	84	0	0	0	0	0	0
ASV_230	0	0	4	20	171	28	76	85	138	35	262	848
ASV_231	64	319	276	135	112	174	0	0	37	180	136	229
ASV_232	0	0	0	0	0	0	25	22	40	1103	306	165
ASV_233	0	0	0	1660	0	0	0	0	0	0	0	0
ASV_234	0	29	69	581	377	211	23	29	217	38	38	32
ASV_235	51	84	180	202	209	85	37	54	20	184	190	333
ASV_236	66	189	331	275	361	211	24	33	104	17	0	15
ASV_237	109	257	264	365	104	106	0	0	91	88	162	74
ASV_238	0	0	0	445	1022	92	0	0	54	0	0	0
ASV_239	0	0	0	80	131	21	131	130	158	11	215	712
ASV_240	560	372	385	0	137	133	0	0	0	0	0	0
ASV_241	0	0	0	405	818	235	0	0	122	0	0	0
ASV_242	0	0	0	448	268	70	193	208	259	30	50	53
ASV_243	0	0	0	701	612	259	0	0	0	0	0	0
ASV_244	0	0	0	667	579	310	0	0	0	0	0	0
ASV_245	127	582	673	73	89	9	0	0	0	0	0	0
ASV_246	0	0	0	3	0	0	26	31	51	820	280	334
ASV_247	24	112	84	0	0	0	309	328	271	175	45	194
ASV_248	0	0	0	696	583	185	0	0	51	0	0	16
ASV_249	0	1524	0	0	0	0	0	0	0	0	0	0
ASV_250	7	22	77	28	328	41	308	352	187	65	57	31
ASV_251	200	51	37	145	235	298	31	31	372	0	79	23
ASV_252	0	350	478	0	0	0	106	97	469	0	0	0
ASV_253	41	114	112	179	180	54	0	0	362	214	170	73
ASV_254	0	0	130	0	0	0	0	0	0	838	271	254
ASV_255	31	0	0	0	0	0	416	429	366	210	0	39
ASV_256	3	1441	45	0	0	0	0	0	0	0	0	0
ASV_257	0	0	0	551	654	237	0	0	26	0	0	18
ASV_258	53	37	80	82	127	105	344	345	166	46	48	51
ASV_259	106	78	307	259	256	135	23	18	232	17	39	12
ASV_260	55	198	236	136	268	50	103	100	168	75	28	58
ASV_261	0	46	40	40	0	65	305	319	476	0	76	105
ASV_262	37	146	132	89	170	200	264	274	148	0	7	0
ASV_263	0	0	0	448	526	492	0	0	0	0	0	0
ASV_264	0	0	0	0	0	0	660	699	74	0	0	0
ASV_265	85	74	188	337	94	0	0	0	0	70	200	380
ASV_266	54	132	389	0	6	0	66	79	98	131	45	425
ASV_267	119	511	655	0	134	0	0	0	0	0	0	0
ASV_268	45	282	203	74	162	80	0	0	0	226	242	103
ASV_269	0	0	0	499	675	202	11	11	11	0	0	6
ASV_270	0	0	0	112	488	762	23	14	0	16	0	0
ASV_271	0	0	16	359	737	300	0	0	0	0	0	0
ASV_272	0	0	0	558	466	124	95	93	65	0	0	0
ASV_273	8	16	57	358	348	215	94	82	3	44	11	164
ASV_274	0	0	0	273	768	340	0	0	0	0	0	0
ASV_275	40	137	74	22	38	22	137	125	64	365	156	200
ASV_276	152	174	253	0	36	33	40	33	170	101	16	358
ASV_277	0	0	0	93	0	0	66	74	1122	0	0	0
ASV_278	69	147	109	367	381	156	0	0	0	50	0	57
ASV_279	0	13	0	343	506	468	0	0	0	0	0	0
